Date,AAPL,AMZN,COST,GOOGL,JPM,LMT,META,MSFT,MSTR,NFLX,NVDA,TSLA,TSM,XOM
2016-06-16,24.387500762939453,35.8754997253418,156.4199981689453,36.212501525878906,62.220001220703125,239.8699951171875,114.38999938964844,50.38999938964844,18.472000122070312,9.543999671936035,1.1887500286102295,14.528667449951172,25.86000061035156,91.22000122070312
2016-06-17,23.832500457763672,35.31949996948242,155.88999938964844,35.212501525878906,62.27999877929688,237.55999755859372,113.0199966430664,50.130001068115234,17.917999267578125,9.44499969482422,1.1679999828338623,14.364666938781738,25.850000381469727,90.72000122070312
2016-06-20,23.774999618530277,35.70050048828125,156.47999572753906,35.30649948120117,62.369998931884766,238.63999938964844,113.37000274658205,50.06999969482422,18.39699935913086,9.380000114440918,1.1890000104904177,14.646666526794434,26.3700008392334,91.12000274658205
2016-06-21,23.977500915527344,35.79100036621094,157.1999969482422,35.444000244140625,62.95000076293945,238.5500030517578,114.37999725341795,51.189998626708984,18.21999931335449,9.098999977111816,1.1817500591278076,14.640666961669922,26.59000015258789,91.52999877929688
2016-06-22,23.887500762939453,35.529998779296875,158.1199951171875,35.52349853515625,62.709999084472656,238.1699981689453,113.91000366210938,50.9900016784668,17.961999893188477,9.00100040435791,1.180750012397766,13.11066722869873,26.540000915527344,91.16999816894533
2016-06-23,24.024999618530277,36.104000091552734,157.02999877929688,35.743499755859375,64.05000305175781,240.0,115.08000183105467,51.90999984741211,18.29400062561035,9.166000366210938,1.212249994277954,13.09333324432373,26.809999465942383,91.8000030517578
2016-06-24,23.350000381469727,34.948001861572266,155.55999755859375,34.2599983215332,59.59999847412109,239.6999969482422,112.08000183105467,49.83000183105469,17.312000274658203,8.843999862670898,1.1432499885559082,12.876667022705078,25.68000030517578,89.38999938964844
2016-06-27,23.01000022888184,34.56800079345703,154.25999450683594,34.05699920654297,57.61000061035156,239.2899932861328,108.97000122070312,48.43000030517578,16.71299934387207,8.532999992370605,1.13100004196167,13.236666679382324,24.899999618530277,88.86000061035156
2016-06-28,23.397499084472656,35.397499084472656,155.60000610351562,34.5629997253418,59.52000045776367,240.91000366210935,112.6999969482422,49.439998626708984,16.815000534057617,8.79699993133545,1.1475000381469729,13.452667236328123,25.26000022888184,90.91000366210938
2016-06-29,23.600000381469727,35.779998779296875,157.0800018310547,34.759498596191406,61.20000076293945,244.0800018310547,114.16000366210938,50.540000915527344,17.43199920654297,9.105999946594238,1.1662499904632568,14.012666702270508,25.799999237060547,92.45999908447266
2016-06-30,23.899999618530277,35.78099822998047,157.0399932861328,35.17649841308594,62.13999938964844,248.1699981689453,114.27999877929688,51.16999816894531,17.50200080871582,9.14799976348877,1.1752500534057615,14.152000427246094,26.229999542236328,93.73999786376952
2016-07-01,23.97249984741211,36.28400039672852,156.11000061035156,35.51250076293945,61.2599983215332,249.3500061035156,114.19000244140624,51.15999984741211,17.23900032043457,9.666999816894531,1.1664999723434448,14.43333339691162,26.530000686645508,93.83999633789062
2016-07-05,23.747499465942383,36.40499877929688,155.25,35.24449920654297,59.54999923706055,249.50999450683597,114.1999969482422,51.16999816894531,17.288000106811523,9.791000366210938,1.183750033378601,14.26533317565918,26.26000022888184,93.0199966430664
2016-07-06,23.88249969482422,36.88050079345703,156.00999450683594,35.44850158691406,60.18999862670898,250.0800018310547,116.6999969482422,51.380001068115234,17.290000915527344,9.460000038146973,1.191249966621399,14.29599952697754,26.149999618530277,94.08999633789062
2016-07-07,23.98500061035156,36.82849884033203,163.6999969482422,35.362998962402344,60.58000183105469,249.7700042724609,115.8499984741211,51.380001068115234,17.384000778198242,9.510000228881836,1.222249984741211,14.395999908447266,26.309999465942383,92.95999908447266
2016-07-08,24.170000076293945,37.29050064086914,165.44000244140625,35.888999938964844,61.83000183105469,251.8999938964844,117.23999786376952,52.29999923706055,17.82900047302246,9.706000328063965,1.2712500095367432,14.45199966430664,26.729999542236328,93.54000091552734
