Date,DAX,DOW,FTSE,HSI,IWM,NIKKEI,QQQ,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2024-01-16,16571.6796875,37361.12109375,7558.2998046875,15865.919921875,190.83999633789062,35619.1796875,409.5199890136719,474.92999267578125,41.244998931884766,73.38999938964844,40.35499954223633,37.34000015258789,110.9800033569336,96.36000061035156,72.4000015258789,39.29999923706055,31.315000534057617,139.67999267578125,86.87999725341797
2024-01-17,16431.689453125,37266.671875,7446.2998046875,15276.900390625,189.47999572753906,35477.75,407.2099914550781,472.2900085449219,40.94499969482422,72.94000244140625,40.02000045776367,37.27000045776367,110.2300033569336,95.88500213623047,72.3499984741211,38.58000183105469,30.860000610351562,139.39999389648438,86.12000274658203
2024-01-18,16567.349609375,37468.609375,7459.10009765625,15391.7900390625,190.60000610351562,35466.171875,412.989990234375,476.489990234375,41.07500076293945,73.83000183105469,39.95500183105469,37.33000183105469,111.72000122070312,97.83000183105469,72.26000213623047,38.33000183105469,30.530000686645508,139.3800048828125,86.61000061035156
2024-01-19,16555.130859375,37863.80078125,7461.89990234375,15308.6904296875,192.42999267578125,35963.26953125,421.17999267578125,482.42999267578125,41.1150016784668,74.83000183105469,40.084999084472656,37.93000030517578,112.44999694824219,100.08499908447266,72.05000305175781,38.70000076293945,30.489999771118164,139.4600067138672,87.44499969482422
2024-01-22,16683.359375,38001.80859375,7487.7001953125,14961.1796875,196.5399932861328,36546.94921875,421.7300109863281,483.45001220703125,41.23500061035156,74.9800033569336,40.23500061035156,38.11000061035156,113.31999969482422,100.5250015258789,71.69999694824219,38.880001068115234,30.334999084472656,140.07000732421875,87.05999755859375
2024-01-23,16627.08984375,37905.44921875,7485.7001953125,15353.98046875,195.97000122070312,36517.5703125,423.4800109863281,484.8599853515625,41.369998931884766,75.72000122070312,40.31999969482422,38.16999816894531,113.2300033569336,100.93000030517578,72.4800033569336,38.66999816894531,30.389999389648438,139.97000122070312,86.8499984741211
2024-01-24,16889.919921875,37806.390625,7527.7001953125,15899.8701171875,194.36000061035156,36226.48046875,425.8299865722656,485.3900146484375,40.810001373291016,76.19000244140625,40.89500045776367,38.31999969482422,112.52999877929688,101.625,71.58999633789062,38.13999938964844,29.975000381469727,138.69000244140625,86.5199966430664
2024-01-25,16906.919921875,38049.12890625,7529.7001953125,16211.9599609375,195.97000122070312,36236.46875,426.3500061035156,488.0299987792969,41.2400016784668,77.43000030517578,41.814998626708984,38.5099983215332,113.61000061035156,102.05000305175781,72.27999877929688,38.65999984741211,30.514999389648438,138.47999572753906,85.44999694824219
2024-01-26,16961.390625,38109.4296875,7635.10009765625,15952.23046875,195.97999572753906,35751.0703125,423.80999755859375,487.4100036621094,41.255001068115234,77.68000030517578,42.125,38.650001525878906,113.43000030517578,100.875,72.62999725341797,38.4900016784668,30.604999542236328,139.27000427246094,85.83999633789062
2024-01-29,16941.7109375,38333.44921875,7632.7001953125,16077.240234375,199.41000366210938,36026.94140625,428.1499938964844,491.2699890136719,41.459999084472656,78.33000183105469,42.064998626708984,38.75,114.16999816894531,101.80000305175781,73.05000305175781,38.77000045776367,30.799999237060547,140.25,87.09500122070312
